FirstName,LastName,Position,Commission
Emily,Marks,Finance Manager,0.06
Jonathan,Finley,Internet Sales,0.1
Ryan,Tucker,Senior Salesperson,0.08
Linda,Fisher,Senior Salesperson,0.12
Justin,Robinson,Senior Salesperson,0.08
Amy,Hoffman,Internet Sales,0.09
Jennifer,Macdonald,Internet Sales,0.08
Whitney,Wolf,Sales Manager,0.11
Kelly,Alvarez,Finance Manager,0.05
Patricia,Fox,Finance Manager,0.04
Tyler,Robinson,Finance Manager,0.06
Brian,Werner,Senior Salesperson,0.12
Dana,Anthony,Finance Manager,0.08
Paul,Nguyen,Sales Manager,0.1
Lisa,Jackson,Sales Manager,0.03
Travis,Snyder,Finance Manager,0.08
Jerry,Williams,Finance Manager,0.08
John,Davis,Sales Associate,0.05
David,Higgins,Sales Associate,0.03
Craig,Murphy,Sales Manager,0.09
Michael,Romero,Internet Sales,0.09
Whitney,Duarte,Finance Manager,0.06
Dana,Edwards,Internet Sales,0.03
Jennifer,Bishop,Sales Manager,0.03
Jeffery,Lawson,Senior Salesperson,0.11
Craig,Russell,Internet Sales,0.08
Tiffany,Medina,Sales Manager,0.03
Cathy,Choi,Senior Salesperson,0.07
Daniel,Smith,Senior Salesperson,0.09
John,Ortiz,Sales Associate,0.05
David,Smith,Sales Manager,0.08
Carrie,Rose,Senior Salesperson,0.03
Victoria,Lewis,Internet Sales,0.06
David,Duncan,Sales Associate,0.11
Jennifer,Adams,Sales Manager,0.1
Daniel,Munoz,Internet Sales,0.05
Roberta,Yang,Sales Associate,0.09
Ronald,Arellano,Sales Manager,0.07
Michael,Golden,Internet Sales,0.12
Alicia,Donaldson,Sales Manager,0.06
David,Harris,Internet Sales,0.1
Aaron,Howell,Finance Manager,0.08
Laura,Collins,Internet Sales,0.02
Sarah,King,Finance Manager,0.06
Kathleen,Rubio,Sales Manager,0.1
Austin,Price,Sales Associate,0.03
Corey,Stone,Sales Associate,0.06
Andrew,Johnson,Internet Sales,0.1
Kristen,Henderson,Internet Sales,0.11
Jennifer,Parks,Internet Sales,0.12
